,Population,"Total
Cases","Total
Tests","Tests/
1M pop","Active
Cases","Serious,
Critical","Total
Deaths"
1,334805269,98166904,1118158870,3339729,2120510,2970,1084282
2,1406631776,44587307,894416853,635857,39583,698,528629
3,65584518,35342950,271490188,4139547,660757,869,155078
4,215353593,34706757,63776166,296146,182094,8318,686027
5,83883596,33312373,122332384,1458359,847225,1406,149948
6,51329899,24769101,15804065,307892,727234,352,28406
7,68497907,23621952,522526476,7628357,84162,146,189919
8,60262770,22432803,246636495,4092684,476145,141,177054
9,125584838,21229216,76201407,606772,804449,204,44678
10,145805947,20948470,273400000,1875095,581544,2300,387163
11,85561976,16873793,162743369,1902052,18353,975,101139
12,46719142,13412263,471036328,10082298,79287,339,114084
13,98953541,11477886,85826548,867342,843821,106,43148
14,26068792,10209239,78835048,3024116,60761,49,14984
15,46010234,9708420,35716069,776264,15175,294,129897
16,17211447,8422336,21107399,1226358,37229,35,22643
17,86022837,7548320,54095556,628851,78529,157,144421
18,131562772,7084488,18393211,139806,400470,4798,330065
19,279134505,6429767,108656989,389264,18357,2771,158093
21,51512762,6307372,36572720,709974,30888,342,141794
22,37739785,6289672,37335609,989290,836193,3086,117539
23,10140570,5490639,44988307,4436467,70827,61,25024
24,43192122,5177217,19521252,451963,94457,177,109206
25,9066710,5118512,197543761,21787811,91202,47,20738
26,10316637,4920192,94139966,9125063,50178,115,33111
27,33181072,4838872,64604259,1947021,25174,43,36369
29,70078203,4681309,17270775,246450,6459,1496,32767
30,9326000,4661096,41373364,4436346,8004,101,11698
31,19250195,4620377,45128974,2344339,18350,124,61141
32,11668278,4533249,35555508,3047194,49021,48,32659
33,38388419,4233468,64928884,1691366,57109,99,44992
34,33684208,4143085,35126382,1042815,11948,147,216539
35,10736784,4100480,56212735,5235528,24088,39,41059
36,8773637,4084307,22318542,2543819,57291,54,14183
37,60756135,4018769,26174429,430811,7319,192,102185
38,112508994,3945566,32796350,291500,28172,696,62916
39,19031335,3267370,25094131,1318569,20230,123,67016
41,10218971,2588441,18965590,1855920,20122,13,20194
42,42164965,2459982,19239264,456286,923,21,25355
43,8653016,2359530,11030499,1274758,43994,33,17000
44,9606259,2094142,11394556,1186160,32464,18,47503
45,167885689,2024489,14872260,88586,30626,1331,29362
46,5943546,1904192,24345019,4096043,81415,9,1617
47,5460193,1843220,7298163,1336613,4827,22,20455
50,7604299,1761381,54352132,7147553,281988,8,10153
51,10300869,1746997,17201885,1669945,1868,59,14122
52,5020199,1663653,12708583,2531490,7343,13,7905
53,229488994,1572598,30477451,132806,5058,47,30616
54,5511370,1462318,11002430,1996315,1112,20,4098
55,19205043,1393468,11575012,602707,1338,24,13690
56,5554960,1292940,11505032,2071128,23248,21,5981
57,37772756,1264935,12577650,332982,114,293,16278
58,6844597,1258670,10559171,1542702,9559,43,37714
59,2661708,1249134,10174473,3822535,23663,12,9320
60,4059286,1231575,5225875,1287388,5149,10,16902
61,6684849,1215511,4795578,717380,117250,74,10674
62,2078034,1181073,2743244,1320115,29202,22,6820
64,18584039,1123465,5884813,316660,688,5,19789
65,11305652,1111179,14149157,1251512,101,23,8530
66,11992656,1108195,2705422,225590,34172,220,22234
67,5182354,1072807,4659757,899158,203183,52,8913
69,18113361,1003778,3082403,170173,3564,759,35894
72,4446964,986866,7062027,1588056,1496,16,8497
73,3496016,985422,6114822,1749083,1177,18,7485
74,3378078,982864,4030048,1193000,1246,192,2179
75,1848837,929051,7650009,4137741,31824,5,5990
77,35844909,816389,44321147,1236470,3492,32,9351
78,7305843,716059,2657506,363751,366,7,19583
79,1783983,680271,10376306,5816370,3027,2,1520
81,4380326,658520,8365279,1909739,641,3,2563
82,11056370,644016,3657057,330765,721,4,4384
84,5345541,620548,3078533,575907,6396,17,5403
85,1321910,601869,3536858,2675566,74198,4,2681
86,4013171,589388,3216305,801437,73402,49,11844
87,1223387,585313,9640118,7879860,5681,60,1180
88,29266991,544687,3359014,114771,840,36,5814
89,106156692,515645,3693367,34792,48850,122,24613
90,7040745,506991,2481983,352517,47,101,6437
91,120812698,493563,5258807,43529,14073,1,7572
92,908061,472336,1603660,1766027,52871,10,893
94,2979915,450448,3951470,1326034,6348,4,682
97,5323993,397993,25000000,4695724,9064,2,4260
99,56215221,338420,3881967,69055,79,1,5678
102,2441162,326308,2026898,830300,564,1,2789
104,627950,280002,2624193,4178984,1067,6,2781
105,45350148,270668,230861,5091,81483,6,6879
106,216746934,265382,5441162,25104,3846,11,3155
107,15331428,257409,2511501,163814,526,12,5602
108,1448471400,250449,160000000,110461,2969,36,5226
109,34382084,244199,1377915,40077,1076,23,1637
110,33089461,230219,1371127,41437,116,11,2221
111,445431,226237,717784,1611437,3872,3,225
114,6728271,206083,1907195,283460,6686,131,2991
116,6550389,201785,2610114,398467,18146,8,4229
117,40754388,199067,1103716,27082,13418,1124,7799
119,540985,185042,2213831,4092223,21047,25,308
120,1406585,182597,834508,593287,4188,18,4195
121,48432863,169396,3012408,62198,65337,3,3628
123,32395450,169100,2504017,77295,334,2,1459
127,27911548,121652,1751774,62762,1101,13,1935
